Match,TeamInnings,Battingposition,batsmanName,Runs,Balls,Fours,Sixes,SR,Out_Status,Matchlink
SRH vs KKR,SRH,5,Shahbaz Ahmed,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,6,Heinrich Klaasen ,32,21,3,1,152.38,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,7,Abdul Samad,16,12,0,2,133.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,8,Sanvir Singh,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,9,Pat Cummins (c),30,24,2,2,125.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,10,Bhuvneshwar Kumar,0,4,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
SRH vs KKR,SRH,11,Vijayakanth Viyaskanth,7,5,0,0,140.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
KKR vs SRH,KKR,1,Rahmanullah Gurbaz ,23,14,2,2,164.28,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
KKR vs SRH,KKR,2,Sunil Narine,21,16,4,0,131.25,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
KKR vs SRH,KKR,3,Venkatesh Iyer,51,28,5,4,182.14,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
KKR vs SRH,KKR,4,Shreyas Iyer (c),58,24,5,4,241.66,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
PBKS vs SRH,PBKS,1,Atharva Taide,46,27,5,2,170.37,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
PBKS vs SRH,PBKS,2,Prabhsimran Singh,71,45,7,4,157.77,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
PBKS vs SRH,PBKS,3,Rilee Rossouw,49,24,3,4,204.16,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
PBKS vs SRH,PBKS,4,Shashank Singh,2,4,0,0,50.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
PBKS vs SRH,PBKS,5,Jitesh Sharma (c),32,15,2,2,213.33,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
PBKS vs SRH,PBKS,6,Ashutosh Sharma,2,3,0,0,66.66,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
PBKS vs SRH,PBKS,7,Shivam Singh,2,3,0,0,66.66,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,1,Travis Head,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
