Match_URL,Innings,Batting_Team,Bowling_Team,Position,Player,Out_Status,Runs,Balls,Fours,Sixes,SR
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,4,Rajat Patidar,out,34,22,2,2,154.54
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,5,Glenn Maxwell,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,6,Mahipal Lomror,out,32,17,2,2,188.23
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,7,Dinesh Karthik †,out,11,13,1,0,84.61
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,8,Swapnil Singh,not out,9,4,0,1,225.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,1,RCB,RR,9,Karn Sharma,out,5,4,1,0,125.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,1,Yashasvi Jaiswal,out,45,30,8,0,150.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,2,Tom Kohler-Cadmore,out,20,15,4,0,133.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,3,Sanju Samson (c)†,out,17,13,0,1,130.76
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,4,Riyan Parag,out,36,26,2,2,138.46
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,5,Dhruv Jurel,out,8,8,1,0,100.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,6,Shimron Hetmyer,out,26,14,3,1,185.71
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,7,Rovman Powell,not out,16,8,2,1,200.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard,2,RR,RCB,8,Ravichandran Ashwin,not out,0,0,0,0,-
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,1,Travis Head,out,0,2,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,2,Abhishek Sharma,out,3,4,0,0,75.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,3,Rahul Tripathi,out,55,35,7,1,157.14
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,4,Nitish Kumar Reddy,out,9,10,1,0,90.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,5,Shahbaz Ahmed,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,6,Heinrich Klaasen †,out,32,21,3,1,152.38
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,7,Abdul Samad,out,16,12,0,2,133.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,8,Sanvir Singh,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,9,Pat Cummins (c),out,30,24,2,2,125.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,10,Bhuvneshwar Kumar,out,0,4,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,1,SRH,KKR,11,Vijayakanth Viyaskanth,not out,7,5,0,0,140.00
