name,image,batting_style,bowling_style,playing_role,description
Shreyas Santosh Iyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323035.1.png",Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,"Shreyas Iyer player profile Shreyas Iyer is an attacking top-order batter capable of marrying classical shots with brute force. He made headlines when Delhi Daredevils bought him at the 2015 IPL auction for Rs 2.6 crore (about US$416,000). It was faith he repaid with interest: he made 439 runs that season, and won the IPL Emerging Player of the Year award. Over the next six seasons, he became a mainstay of the side and its captain, making over 400 runs a season for them four times."
Kona Srikar Bharat,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390500/390536.2.png",Right hand Bat,,Wicketkeeper Batter,"KS Bharat did not keep wicket in a match until his last year in Under-19 cricket. From there, he had to compete with Wriddhiman Saha, an immaculate gloveman, and Rishabh Pant, a maverick batter, for a spot in India's Test side. Bharat got his first India call-up in November 2019 but had to wait till February 2023 for his debut. That too came only because Pant was unavailable after his car accident. In between, he kept as a substitute - and took two catches and effected one stumping - when Saha had a stiff neck during the Kanpur Test against New Zealand in 2021."
Manish Krishnanand Pandey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323052.1.png",Right hand Bat,Right arm Medium,Top order Batter,"Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer. But his barnstorming start did not immediately translate into an India call-up and Pandey continued to work his way up in the domestic circuit. His growth as an aggressive middle-order batsman and an athletic fielder coincided with Karnataka's rise as undisputed leaders of the domestic arena in a period that saw them complete the double treble. In July 2015, six years after that smash-mouth IPL hundred in Centurion, Pandey made his international debut in Harare."
Angkrish Raghuvanshi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345093.1.png",Right hand Bat,Slow Left arm Orthodox,Top order Batter,"Angkrish Raghuvanshi, the tall, right-hand top-order batter, was India's highest run-getter at the 2022 Under-19 World Cup in the Caribbean, which India won. Raghuvanshi finished fourth on the overall scorers' list with 278 runs from six innings, though he recorded a two-ball duck against England in the final. Originally from Delhi, Raghuvanshi moved to Mumbai when just 11 and began training under Abhishek Nayar and Omkar Salvi. He ended up shifting to Mumbai permanently not long after."
Rahmanullah Gurbaz,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383237.1.png",Right hand Bat,Right arm Medium,Wicketkeeper Batter,"Rahmanullah Gurbaz player profile Fast behind the stumps and explosive in front of them, Rahmanullah Gurbaz had a fast ascent to becoming one of the first names on the Afghanistan team sheet. Having impressed from a young age, he made his List A debut in 2017 at the age of 15 for Afghanistan A against Zimbabwe A, shortly before his first T20 match in the Shpageeza T20 league. The next year saw him make his First Class debut for Mis Ainak region and he was picked in Afghanistan's squad for the 2018 Under-19 World Cup. Later that year, he was Afghanistan's most prolific batter in the Under-19 Asia Cup"
Ramandeep Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380670.5.png",Right hand Bat,Right arm Medium,Middle order Batter,
Nitish Rana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323054.1.png",Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,"Nitish Rana IPL factfile - Nitish Rana was first bought by Mumbai Indians in the IPL in 2015, but did not get a game. He was retained for 2016 after being the most prolific six-hitter in the 2015-16 Syed Mushtaq Ali Trophy."
Sherfane Eviston Rutherford,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322173.1.png",Left hand Bat,Right arm Fast medium,Middle order Batter,"Sherfane Rutherford made a name as a short-format allrounder, who can bowl medium pace and produce impactful cameos with the bat. His domestic career started with first-class games for Guyana in two seasons from 2016-17. Rutherford made his T20 debut in CPL 2018, just days short of turning 20, and hasn't looked back since. He smashed 171 runs at a strike rate of 142 for Guyana Amazon Warriors, and made his T20I debut for West Indies on the tour of Bangladesh later that year. He first played the IPL in 2019 for Delhi Capitals. He produced results with the bat, while his bowling performances were not anything of note. In the BPL 2019-20, he played multiple cameos for Sylhet Thunder. That was followed by the PSL 2020-21, which he won with Karachi Kings. Rutherford played the next PSL for Peshawar Zalmi, and scored 276 runs at a strike rate of 153. He was also a part of the St Kitts and Nevis Patriots side that lifted the CPL 2022 trophy, and contributed 262 runs."
Rinku Khanchand Singh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/341000/341043.1.png",Left hand Bat,Right arm Offbreak,Middle order Batter,"A middle-order batter and an excellent outfielder, Rinku Singh stunned everyone when he hit Yash Dayal for five consecutive sixes with Kolkata Knight Riders needing 28 from five balls against Gujarat Titans in IPL 2023. Rinku's is a rags-to-riches story. At one point, with the family in debt, he almost took the job as a domestic worker. His fortune changed when KKR bought him for INR 80 lakh at the IPL 2018 auction. However, it was not until IPL 2022 that he played an innings of note. The following season, he was the leading run-scorer for KKR, with a tally of 474 at a strike rate of 149.52."
Jason Jonathan Roy,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Right hand Bat,,Opening Batter,If there was any doubt over the value of Jason Roy to England's limited-overs team - and there probably shouldn't have been - it was dispelled on the way to their World Cup triumph of 2019. Having started the tournament in formidable form - he made a half-century against South Africa and a brutal 153 against Bangladesh - he suffered a hamstring injury against West Indies and could only watch-on as England suffered tournament-threatening defeats against Sri Lanka and Australia.
